time,u,v,r,p,x,y,psi,phi,δ,nps,x_bow,y_bow,x_stern,y_stern
0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108652381980153,13.2,1.5285,0.0,-1.5285,0.0
0.25041736227045075,1.4796468289059048,-0.013355153446837072,0.018198514707951655,0.119155632253646,0.3730567828646655,-0.0013625680636374189,0.002357224130481501,0.016672512528317397,0.6108652381980153,13.2,1.9015525363072259,0.002240445683107048,-1.1554389705778951,-0.004965581810381886
0.5008347245409015,1.4601738783685247,-0.02714369273737537,0.03296276676098547,0.14685710205020192,0.7411562132558523,-0.004485121392753704,0.008826200967677715,0.051962295026641445,0.6108652381980153,13.2,2.2695966771737246,0.009005551626744945,-0.78728425066202,-0.017975794412252354
0.7512520868113522,1.4412313959020333,-0.04113942385826453,0.04533060875810779,0.08926157380462288,1.104513326580693,-0.008134801055284135,0.01866524599290816,0.08303287711973531,0.6108652381980153,13.2,2.6327470761772283,0.020393370882546107,-0.42372042301584223,-0.03666297299311438
1.001669449081803,1.4225162764592805,-0.05525818586951275,0.05662930950309382,-0.02204079228653838,1.4632679975705978,-0.011305423618430864,0.0314426731992412,0.0922306084674971,0.6108652381980153,13.2,2.991012490399868,0.03674678371729548,-0.0644764952586725,-0.059357630954157206
1.2520868113522536,1.4037399491546458,-0.06945374079885645,0.06796534837607439,-0.14400485371622107,1.8174851996636656,-0.01311535252646087,0.047030809257411446,0.07108201088397229,0.6108652381980153,13.2,3.3442950689339677,0.058744741397795924,0.2906753303933636,-0.08497544645071767
1.5025041736227045,1.3846512644971274,-0.08367562982272758,0.08003759345895876,-0.234664247577984,2.167151407141209,-0.012710984538479525,0.06554207111536008,0.02269827427658861,0.6108652381980153,13.2,3.692369545296796,0.08739836088543237,0.6419332689856216,-0.11282032996239141
1.7529215358931554,1.365052774408535,-0.09787587971691246,0.09323686713542713,-0.2680216446971484,2.5121827765062843,-0.009210584775926907,0.08721068975019533,-0.04161030843388321,0.6108652381980153,13.2,4.034873800093801,0.12392204340364879,0.9894917529187677,-0.1423432129555026
2.003338898163606,1.344785767934481,-0.11203706704276326,0.10767215766368651,-0.24160011583332794,2.8524258647257006,-0.001675427007260727,0.11233636201947199,-0.10662865531174846,0.6108652381980153,13.2,4.371291581787312,0.16966979041919084,1.3335601476640895,-0.1730206444337123
2.2537562604340566,1.3236827796687818,-0.1261061696885302,0.12306590818841898,-0.17196277085365674,3.187652293419796,0.010866581489958031,0.14121932732082357,-0.15894501698518002,0.6108652381980153,13.2,4.700936246219828,0.22600358016268843,1.674368340619764,-0.20427041718277236
2.5041736227045073,1.301596585798928,-0.1398576562957823,0.13855571928042495,-0.08903247186580637,3.5175391962642295,0.02944134110836088,0.1739850857855687,-0.19164533401665576,0.6108652381980153,13.2,5.022963029064279,0.2940378899097582,2.0121153634641806,-0.23515520769303644
2.7545909849749584,1.2784391093925316,-0.1528386371523644,0.15277203804836817,-0.022731040139673718,3.8416617769890324,0.05505912848299441,0.21050723646387673,-0.20492930992150934,0.6108652381980153,13.2,5.336420216598819,0.37444832243813775,2.3469033373792456,-0.264330065472149
3.005008347245409,1.2542571873298527,-0.1645713808753531,0.16462499596211372,0.008001930832586095,4.159501192850878,0.0886642981329383,0.2503050381392886,-0.20593032250183826,0.6108652381980153,13.2,5.6403684082430425,0.46727298844082904,2.6786339774587136,-0.28994439217495244
3.2554257095158596,1.229199381607459,-0.1747696820315447,0.17378309168111233,0.00034935371861230177,4.470478967456912,0.13101847614159473,0.2927310665610524,-0.2041465137651808,0.6108652381980153,13.2,5.933955581313793,0.5720949442216752,3.007002353600031,-0.31005799193848566
3.5058430717863107,1.2034505280452534,-0.18343298156990473,0.18079778852133044,-0.033007891333668264,4.7739977850483495,0.18263246742298728,0.3371610317242602,-0.20792333063636007,0.6108652381980153,13.2,6.216439603874857,0.6882744843682531,3.331555966221842,-0.3230095495222785
3.7562604340567614,1.177162450593398,-0.1907548550945389,0.1866575868924928,-0.07198559991656327,5.069472743850067,0.2437560230537196,0.3831842467011669,-0.2211501216827193,0.6108652381980153,13.2,6.487124131273642,0.8152250018583543,3.651821356426492,-0.3277129557509152
4.006677796327212,1.150440903996737,-0.19697180936124464,0.19227038678169409,-0.09811178679088986,5.3563397532152965,0.3144368114064048,0.4306259928682809,-0.24288378740645974,0.6108652381980153,13.2,6.745294754867119,0.9524934338047499,3.9673847515634737,-0.32361981099194037
4.257095158597663,1.1233578163623583,-0.20223494814336604,0.19809144740220608,-0.10161047134156748,5.634048589673247,0.3945917152311824,0.4794967929958234,-0.26840091909325325,0.6108652381980153,13.2,6.99017533580694,1.0997388618756556,4.277921843539554,-0.3105554314132908
4.507512520868113,1.0959975111059808,-0.20655745625810604,0.2040150170548908,-0.08284858271019938,5.902051693019502,0.4840689886354035,0.5298442497788591,-0.2919322791743329,0.6108652381980153,13.2,7.220972633702035,1.256571287809395,4.58313075233697,-0.2884333105385881
4.757929883138564,1.0685022222019747,-0.2098172373239916,0.20939665038175487,-0.050417439780595555,6.159799001621501,0.582677090372524,0.5816233371937363,-0.30883887937222376,0.6108652381980153,13.2,7.436970682156846,1.4224060635766893,4.882627321086155,-0.25705188283164127
5.0083472454090145,1.0410968038207766,-0.21187134475787806,0.21341999185651508,-0.015242093124823705,6.406764303242588,0.6901675194044363,0.6346083164427534,-0.31689236780159713,0.6108652381980153,13.2,7.637671425347903,1.5963572935414059,5.175857181137274,-0.21602225473253323
