time,u,v,r,p,x,y,psi,phi,X_W,Y_W,N_W,K_W,δ,nps,x_bow,y_bow,x_stern,y_stern
0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9135514665226504,0.0,0.0,0.0,0.6108652381980153,13.2,1.5285,0.0,-1.5285,0.0
0.25041736227045075,1.4779091905904762,-0.013347998630375953,0.018191755214737156,0.1191071782644122,0.3728378846040512,-0.0013623096489705335,0.002356600003473896,0.016667920903798497,-0.9135537918423411,0.0009079366510515293,0.0015375579355455227,7.263493208412235e-05,0.6108652381980153,13.2,1.9013336402950523,0.0022397501222924986,-1.1556578710869498,-0.0049643694202335656
0.5008347245409015,1.4567603610836684,-0.02711241835456478,0.03294557664673981,0.14675428325022283,0.7402910741932915,-0.004484783103540733,0.008822522349084061,0.05193770269729911,-0.9135828335089614,0.003399617102308903,0.0057557107680355395,0.0002719693681847122,0.6108652381980153,13.2,2.2687315877278627,0.009000267366356788,-0.7881494393412798,-0.017969833573438253
0.7512520868113522,1.4362003570671016,-0.04106520488947432,0.04530774967204937,0.08918810215762302,1.102589568861941,-0.00813847945994407,0.018656440689828756,0.08298387643335911,-0.9136834062775927,0.0071931401365553085,0.012167114216789891,0.0005754512109244247,0.6108652381980153,13.2,2.630823569598432,0.020376235915439033,-0.4256444318745498,-0.03665319483532717
1.001669449081803,1.4159234144921518,-0.05512264035381296,0.056604305156403224,-0.021955458657783047,1.4598874616234314,-0.011323989055602118,0.03142783835350082,0.09218005440480269,-0.9138951998008209,0.012133925467479089,0.020479728405832245,0.0009707140373983271,0.6108652381980153,13.2,2.9876326671316775,0.03670555442095573,-0.06785774388481469,-0.05935353253215997
1.2520868113522536,1.3956391233450094,-0.06924047607445827,0.06793316228420593,-0.14361111368774637,1.812263462339441,-0.013169246575038327,0.047009076539596795,0.0710882908957583,-0.9142367848367985,0.018197305015471572,0.030586063763334937,0.0014557844012377259,0.6108652381980153,13.2,3.3390748929643217,0.058657665604205454,0.28545203171456013,-0.08499615875428211
1.5025041736227045,1.3750954541066585,-0.08336980651821664,0.07998147510486511,-0.23381732794416343,2.159717691965958,-0.012833956735810838,0.06550975990029781,0.022857047927673582,-0.9146892727049634,0.02547204385124072,0.04251165616807441,0.0020377635080992577,0.6108652381980153,13.2,3.684939063979959,0.087226106984573,0.6344963199519567,-0.11289402045619468
1.7529215358931554,1.3540952511291684,-0.09746142740581298,0.09312603474711453,-0.2666178868239544,2.502180291920081,-0.00945409891229285,0.08715828584393664,-0.04117115177963043,-0.9151656029689086,0.03412848405138742,0.056324170617413676,0.002730278724110994,0.6108652381980153,13.2,4.024878290086578,0.12359873412685596,0.9794822937535843,-0.14250693195144165
2.003338898163606,1.3324819752762833,-0.11149106848206305,0.10746112855310412,-0.23960671113421958,2.8395127977392227,-0.0021135401024643553,0.11224491546676392,-0.10576313894068558,-0.91545989239479,0.04441725963342887,0.07207585905642351,0.00355338077067431,0.6108652381980153,13.2,4.358394177379532,0.16909278157389424,1.320631418098913,-0.17331986177882297
2.2537562604340566,1.3100938806869435,-0.12539379878319357,0.12269539026120951,-0.169423609051801,3.1715036542307495,0.010133080140242987,0.141056233030879,-0.15751144429059846,-0.9151712784368525,0.056672070029580364,0.0897331124307458,0.004533765602366429,0.6108652381980153,13.2,4.68482267452018,0.22502326798100625,1.658184633941319,-0.2047571077005203
